SampleID,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Protein,Moisture,Slope1,Bias1,Slope2,Bias2,Product,Date,Time,IntTime,Temp,GPS,misc,y,dir_y,x,dir_x
SEC 1 WEST,3.427398,3.348524,3.272873,3.199109,3.133056,3.085469,3.039238,2.983356,2.930371,2.889322,2.865191,2.859391,2.862687,2.854942,2.82536,2.791087,2.780216,2.816813,2.898485,2.992696,3.050766,3.057849,3.035816,2.99848,2.950405,2.898649,2.849143,2.801762,2.754745,2.711648,2.676438,2.650788,2.635954,2.631599,2.647274,2.712418,2.856447,3.053427,13.5,11.093,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:47:58 PM,10000,35.2,,,,,,
SEC 1 WEST,3.340121,3.267614,3.198296,3.130992,3.070711,3.025995,2.982382,2.929258,2.878889,2.840891,2.818693,2.813556,2.818614,2.811751,2.78325,2.748714,2.736228,2.769121,2.84672,2.938275,2.996719,3.00692,2.98845,2.954346,2.909777,2.861015,2.813947,2.768781,2.72358,2.681904,2.64788,2.622667,2.60793,2.60296,2.617032,2.678809,2.815735,3.00304,13.404,10.995,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:48:17 PM,10000,35.8,GPGGA,234854.8,46.04437008,N,109.178085,W
SEC 1 WEST,3.333396,3.262099,3.193701,3.127287,3.068745,3.024751,2.981869,2.930481,2.882907,2.84642,2.824567,2.821217,2.827339,2.821423,2.793326,2.760241,2.748576,2.781775,2.859012,2.950809,3.009104,3.018719,3.00031,2.966969,2.922929,2.874292,2.827991,2.783291,2.738592,2.697301,2.663855,2.638723,2.623829,2.619153,2.633671,2.694821,2.830655,3.016796,14.143,10.874,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:48:41 PM,10000,35.7,GPGGA,234926.6,46.04436953,N,109.1784941,W
SEC 1 WEST,3.149801,3.093143,3.037069,2.9803,2.931676,2.902061,2.870995,2.827697,2.785194,2.753642,2.735103,2.730643,2.735498,2.729938,2.706001,2.677766,2.668241,2.695809,2.760244,2.836206,2.882879,2.890414,2.874973,2.848188,2.810957,2.770868,2.73226,2.694672,2.655966,2.621069,2.592293,2.570245,2.557065,2.553141,2.565348,2.618093,2.734078,2.888167,14.783,11.157,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:49:02 PM,10000,35.6,GPGGA,234950.2,46.04436902,N,109.1788251,W
SEC 1 WEST,3.349127,3.276896,3.206979,3.13904,3.079733,3.03563,2.99082,2.937508,2.888554,2.850698,2.828901,2.824602,2.830415,2.824057,2.795664,2.761332,2.749522,2.782613,2.85989,2.951828,3.010404,3.02019,3.001397,2.968382,2.92387,2.875204,2.828706,2.784436,2.739344,2.697478,2.664375,2.639226,2.624076,2.619541,2.63404,2.695774,2.831903,3.018714,13.654,10.982,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:49:23 PM,10000,35.8,GPGGA,235011.4,46.0443684,N,109.1791231,W
SEC 1 WEST,3.244724,3.176702,3.110837,3.045057,2.989141,2.951423,2.91125,2.860026,2.812872,2.777288,2.756523,2.753083,2.75902,2.753148,2.725508,2.693687,2.683038,2.7157,2.790979,2.879467,2.935203,2.94451,2.92728,2.895385,2.852931,2.807008,2.762728,2.720345,2.677262,2.63731,2.605005,2.581548,2.567378,2.562874,2.577463,2.638474,2.770832,2.950488,14.06,10.999,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:49:44 PM,10000,35.7,GPGGA,235033,46.04436832,N,109.1794262,W
SEC 1 WEST,3.302309,3.231541,3.165132,3.09999,3.040664,2.998589,2.958732,2.909365,2.861758,2.826788,2.806547,2.804003,2.810969,2.806615,2.779206,2.7462,2.7347,2.767593,2.84488,2.936541,2.995071,3.005513,2.988354,2.955283,2.911669,2.863994,2.817734,2.773115,2.72893,2.687925,2.654089,2.62932,2.615093,2.610206,2.624162,2.685512,2.820129,3.003813,13.807,11.02,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:50:08 PM,10000,35.6,GPGGA,235053.8,46.04436775,N,109.1797175,W
SEC 1 WEST,3.34852,3.27433,3.203865,3.13424,3.070564,3.026398,2.983819,2.931392,2.881988,2.844913,2.822709,2.818434,2.824811,2.819129,2.790895,2.756711,2.744555,2.776855,2.854764,2.948099,3.00776,3.017561,2.999496,2.965463,2.920338,2.871373,2.824846,2.779982,2.734648,2.692833,2.659278,2.634044,2.61844,2.61356,2.627659,2.688587,2.823681,3.009785,13.644,11.089,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:50:30 PM,10000,35.7,GPGGA,235117.2,46.04436723,N,109.1800447,W
SEC 1 WEST,3.262161,3.194199,3.130472,3.067313,3.009541,2.966634,2.927313,2.880172,2.835567,2.801053,2.780528,2.776208,2.78098,2.775109,2.748802,2.717297,2.704876,2.733689,2.804246,2.889123,2.942758,2.951517,2.934176,2.902883,2.861295,2.816016,2.773094,2.731243,2.689457,2.650885,2.619247,2.595433,2.580836,2.575834,2.588981,2.645292,2.7697,2.938919,13.769,10.5,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:50:58 PM,10000,36,GPGGA,235139.6,46.04436702,N,109.1803586,W
SEC 1 WEST,3.333993,3.265465,3.200269,3.13537,3.077676,3.036274,2.99648,2.948197,2.90269,2.868027,2.847884,2.844523,2.850924,2.845838,2.819347,2.787472,2.776098,2.807142,2.881982,2.972115,3.028198,3.036097,3.017066,2.983333,2.939331,2.892068,2.847615,2.804259,2.761287,2.721377,2.688844,2.663488,2.648079,2.643099,2.65623,2.713935,2.842289,3.017594,12.997,10.447,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:51:45 PM,10000,36.2,GPGGA,235207.6,46.04436635,N,109.1807547,W
SEC 1 WEST,3.323632,3.253207,3.186101,3.120428,3.063468,3.023286,2.983095,2.932364,2.884235,2.849323,2.830082,2.828477,2.836785,2.833178,2.806435,2.77338,2.76224,2.797182,2.87781,2.973175,3.033826,3.044101,3.026045,2.991343,2.946473,2.897774,2.851015,2.80569,2.761,2.719078,2.684905,2.659274,2.644125,2.638918,2.65273,2.714682,2.852264,3.039711,13.113,10.966,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:52:12 PM,10000,35.9,GPGGA,235254.6,46.04436537,N,109.1814229,W
SEC 1 WEST,3.234935,3.168223,3.104805,3.041458,2.986245,2.946606,2.908108,2.860353,2.814793,2.781094,2.761543,2.759017,2.766235,2.762255,2.736297,2.704495,2.69385,2.725378,2.802166,2.893156,2.950348,2.960115,2.944136,2.911276,2.868193,2.821307,2.776451,2.733118,2.689226,2.650092,2.616989,2.592178,2.576535,2.572683,2.585987,2.6449,2.77632,2.95757,13.826,11.047,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:52:32 PM,10000,35.6,GPGGA,235321.6,46.0443648,N,109.181804,W
SEC 1 WEST,3.407834,3.334987,3.267253,3.200093,3.13905,3.09425,3.051709,3.000087,2.951877,2.915537,2.895294,2.89309,2.901289,2.897565,2.869637,2.835073,2.822944,2.857706,2.939984,3.038463,3.101823,3.112602,3.092941,3.056329,3.008768,2.957562,2.908354,2.861297,2.814787,2.771505,2.736211,2.709458,2.693198,2.687412,2.701222,2.763811,2.903359,3.097191,12.02,10.851,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:52:54 PM,10000,35.1,GPGGA,235342,46.04436438,N,109.1820908,W
SEC 1 WEST,3.282599,3.214271,3.148711,3.085258,3.029901,2.988855,2.948836,2.89985,2.853501,2.819235,2.800088,2.798531,2.806374,2.803046,2.777479,2.745425,2.73432,2.768377,2.846762,2.940363,2.999456,3.009674,2.991742,2.958071,2.914021,2.866374,2.821578,2.777549,2.734497,2.693631,2.66076,2.635859,2.621066,2.615337,2.628427,2.688185,2.820723,3.002474,12.967,10.924,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:53:20 PM,10000,34.9,GPGGA,235403.2,46.04436415,N,109.1823352,W
SEC 1 WEST,3.365378,3.291514,3.220699,3.150743,3.088731,3.044605,3.001242,2.94795,2.89717,2.859287,2.837399,2.833215,2.838974,2.833125,2.80459,2.769588,2.756704,2.790091,2.869022,2.963232,3.023098,3.033407,3.015431,2.98097,2.936257,2.88743,2.840221,2.794732,2.749429,2.707206,2.672605,2.646865,2.631729,2.627045,2.641002,2.704089,2.842235,3.033205,13.447,10.877,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:54:30 PM,10000,34.5,GPGGA,235429.6,46.04435098,N,109.1826395,W
